Loci	ips
4921520G13Rik	3.83287
4921521F21Rik	4.07231
4921521K07Rik	2.85454
4921522P10Rik	2.79439
4921526F01Rik	4.69081
4921530G04Rik	5.64772
4921530L21Rik	3.08834
4921536K21Rik	3.05832
4921537P18Rik	2.77629
4922502D21Rik	2.39898
4922505E12Rik	3.44035
4930402F06Rik	2.98415
4930403C10Rik	3.61038
4930404H21Rik	2.7348
4930404N11Rik	5.71047
4930408O21Rik	4.05465
4930412F15Rik	3.74765
4930417G10Rik	4.11679
4930418G15Rik	2.49201
4930425N13Rik	2.74942
4930430A15Rik	2.90551
4930432H15Rik	3.27832
4930432K09Rik	5.01209
4930432K21Rik	5.34372
4930432O21Rik	5.16792
4930434E21Rik	4.79279
4930441O14Rik	3.53507
4930444A02Rik	6.20129
4930449I24Rik	3.23972
4930451C15Rik	2.74705
4930451I11Rik	5.24993
4930452B06Rik	5.67776
4930473A06Rik	3.75379
4930474N05Rik	3.12451
4930481F22Rik	4.12954
4930483J18Rik	4.33094
4930500O05Rik	5.64633
4930500O09Rik	4.7449
4930503B20Rik	3.18935
4930504E06Rik	7.18515
4930504O13Rik	3.59392
4930505A04Rik	2.9441
4930507C10Rik	3.3133
4930511H11Rik	5.73189
4930511I11Rik	4.02745
4930511M11Rik	3.99595
4930519G04Rik	2.63853
4930519N16Rik	4.04829
4930521A18Rik	2.564
4930522H14Rik	3.30053
4930523C11Rik	3.54249
4930524B15Rik	3.87864
4930526D03Rik	3.18391
4930529M08Rik	4.05627
4930534B04Rik	5.5276
4930535B03Rik	6.16628
4930538K18Rik	3.57853
4930542C12Rik	4.09673
4930542N07Rik	2.32769
4930543C13Rik	5.71527
4930544G21Rik	3.0961
4930544M13Rik	3.74438
4930546H06Rik	3.60813
4930547C10Rik	2.55871
4930548H24Rik	3.92378
4930549C01Rik	4.79499
4930550C14Rik	2.8428
4930555I21Rik	4.16226
4930556L07Rik	4.86742
4930558O21Rik	5.89084
4930562D19Rik	5.7989
4930563D23Rik	4.3955
4930563P21Rik	2.74074
4930578C19Rik	2.5561
4930578I06Rik	3.2985
4930578N16Rik	3.59044
4930579C15Rik	2.46852
4930579E17Rik	4.12538
4930591A17Rik	5.59684
4931406B18Rik	4.79771
4931406H21Rik	4.88729
4931407G18Rik	3.73739
4931408A02Rik	5.074
4931414P19Rik	5.45594
4931417E11Rik	4.40954
4931417G12Rik	4.04485
4931428L18Rik	3.65146
4931429I11Rik	2.62048
4931431C16Rik	3.12091
4931432M23Rik	4.66547
