Loci	ips
Tmem27	0
Tmem26	0
Tmem25	0
Tmem184a	0
Tmem182	0
Tmem178	0
Tmem174	0
Tmem17	0
Tmem16d	0
Tmem16c	0
Tmem169	0
Tmem166	0
Tmem162	0
Tmem154	0
Tmem144	0
Tmem143$2900057H02Rik	0
Tmem142b	0
Tmem140	0
Tmem139	0
Tmem132e	0
Tmem130	0
Tmem125	0
Tmem119	0
Tmem118	0
Tmem117	0
Tmem116	0
Tmem108$LOC100045503	0
Tmem104	0
Tmem103	0
Tmem100	0
Tmem10	0
Tmeff2	0
Tmco5	0
Tmco4	0
Tmco3	0
Tmcc2	0
Tmc7	0
Tmc5	0
Tmc2	0
Tmc1	0
Tm7sf4	0
Tm6sf2	0
Tm4sf20	0
Tlx1	0
Tlr8	0
Tlr7	0
Tlr5	0
Tlr4	0
Tlr3	0
Tlr2	0
Tlr13	0
Tlr1	0
Tlm	0
Tll2	0
Tll1	0
Tle2	0
Tktl2	0
Titf1	0
Tinag	0
Timp4	0
Timd4	0
Timd2	0
Tigd5	0
Tie1	0
Tiam2	0
Tiaf2	0
Thsd7b	0
Thsd4	0
Thsd1	0
Thrb	0
Thpo	0
Them5	0
Them4	0
Theg	0
Thbs4	0
Thbs3	0
Thbs2	0
Thap2	0
Tha1	0
Th	0
Tgm6	0
Tgm5	0
Tgifx1	0
Tgfb3	0
Tgfb2	0
Tg	0
Tfpi2	0
Tff3	0
Tff2	0
Tex24	0
Tex22	0
Tex18	0
Tex16	0
Tex13	0
Tex101	0
Tessp2	0
Tesp2	0
Tesp1	0
Tert	0
Tenc1	0
Tekt5	0
Tekt4	0
Tekt3	0
Tekt2	0
Tectb	0
Tecta	0
Tec	0
Tdrd7	0
Tdrd1	0
Tdpoz1	0
Tdo2	0
Tctex1d1	0
Tcte2	0
Tcte1	0
Tchhl1	0
Tcfec	0
Tcfap2e	0
Tcfap2d	0
Tcfap2b	0
Tcfap2a$Hrc	0
Tcf7l2	0
Tcf23	0
Tcf21	0
Tcf2	0
Tcf1	0
Tcerg1l	0
Tcba1	0
Tcap	0
Tcam1	0
Tbxas1	0
Tbx6	0
Tbx5	0
Tbx4	0
Tbx22	0
Tbx21	0
Tbx20	0
Tbx2	0
Tbx18	0
Tbr1	0
Tbc1d9	0
Tbc1d8b	0
Tbc1d5	0
Tbc1d4	0
Tbc1d21	0
Tbc1d14$LOC100044325	0
Tbc1d10c	0
Tbc1d1$LOC100046817	0
Tat	0
Tas2r119	0
Tas2r108	0
Tas2r105	0
Tas1r1	0
Tapbpl	0
Tap2	0
Tap1	0
Tanc2	0
Tal2	0
Tal1	0
Tagln3	0
Taf15	0
Tacstd2	0
Tac4	0
Tac2	0
Tac1	0
Taar1	0
T2bp	0
T	0
Sytl4	0
Sytl2	0
Syt7	0
Syt6	0
Syt4	0
Syt3	0
Syt2	0
Syt17	0
Syt16	0
Syt13	0
Syt10	0
Syt1	0
Sypl2	0
Syp	0
Synpr	0
Synpo2l	0
Synj2	0
Syngr4	0
