Loci	pips
4930547N16Rik_pips	6.63899
4930548H24Rik_pips	3.91185
4930549C01Rik_pips	4.86693
4930550C14Rik_pips	2.6238
4930555I21Rik_pips	4.03525
4930556L07Rik_pips	4.83614
4930558O21Rik_pips	3.63422
4930562D19Rik_pips	5.92177
4930563D23Rik_pips	4.41586
4930563P21Rik_pips	2.65952
4930578C19Rik_pips	2.61238
4930578I06Rik_pips	3.33282
4930578N16Rik_pips	3.34471
4930579C15Rik_pips	2.41781
4930579E17Rik_pips	4.04282
4930589M24Rik_pips	4.95056
4930591A17Rik_pips	3.85401
4931406H21Rik_pips	4.75299
4931407G18Rik_pips	3.70727
4931414P19Rik_pips	5.99748
4931417E11Rik_pips	4.46678
4931417G12Rik_pips	3.28559
4931428L18Rik_pips	3.71847
4931429I11Rik_pips	2.60452
4931431C16Rik_pips	3.12155
4931432M23Rik_pips	4.59034
4931433A01Rik_pips	3.77786
4931440F15Rik_pips	5.16389
4932409I22Rik_pips	4.33587
4932411G14Rik_pips	4.03065
4932413O14Rik_pips	3.86888
4932414N04Rik_pips	2.46426
4932417H02Rik_pips	4.55138
4932425I24Rik_pips	3.3585
4932431H17Rik_pips	2.63409
4932432K03Rik_pips	6.60627
4932438H23Rik_pips	4.10788
4932701A20Rik_pips	2.7259
4933400E14Rik_pips	3.67554
4933402J07Rik_pips	4.53573
4933402N03Rik_pips	3.99173
4933403F05Rik_pips	7.02902
4933403G14Rik_pips	2.89597
4933403O03Rik_pips	3.13692
4933404M02Rik_pips	3.20693
4933404M19Rik_pips	4.50214
4933405O20Rik_pips	4.10297
4933407H18Rik_pips	5.96484
4933407I18Rik_pips	3.8887
4933409K07Rik_pips	4.3988
4933414I15Rik_pips	3.9973
4933415F23Rik_pips	3.09817
4933417A18Rik_pips	2.92022
4933421I07Rik_pips	4.32475
4933422H20Rik_pips	4.63966
4933425L06Rik_pips	2.71528
4933425O20Rik_pips	3.24916
4933426K21Rik_pips	3.44062
4933430I17Rik_pips	2.9554
4933431E20Rik_pips	4.90718
4933433K01Rik_pips	4.28305
4933434I06Rik_pips	3.92848
4933434I20Rik_pips	4.02257
4933436I01Rik_pips	2.59991
4933437F05Rik_pips	3.90264
4933437K13Rik_pips	4.94209
4933437N03Rik_pips	3.62007
4933439F18Rik_pips	7.39008
4933440H19Rik_pips	5.56083
5033411D12Rik_pips	3.19739
5033413D22Rik_pips	5.11824
5330417C22Rik_pips	3.29816
5330421F07Rik_pips	5.1414
5330438D12Rik_pips	5.87524
5330439B14Rik_pips	3.19162
5430402E10Rik_pips	2.73064
5430407P10Rik_pips	4.73391
5430416O09Rik_pips	3.52174
5430420C16Rik_pips	3.06272
5430435G22Rik_pips	6.54935
5630401D24Rik_pips	6.24554
5730403B10Rik_pips	6.73649
5730409G15Rik_pips	6.41168
5730442P18Rik_pips	4.25341
5730507A09Rik_pips	4.8161
5730507C01Rik_pips	4.84666
5730528L13Rik_pips	6.4436
5730557B15Rik_pips	4.39832
5730577I03Rik_pips	4.42392
5730596B20Rik_pips	4.46048
5830403L16Rik_pips	3.49473
5830405N20Rik_pips	4.28109
5830406J20Rik_pips	3.4536
5830418K08Rik_pips	4.91503
5830428H23Rik_pips	4.32489
5830443L24Rik$5830443L24Rik_pips	4.67689
5830443L24Rik_pips	4.98666
5830482F20Rik_pips	4.42577
5830483C08Rik_pips	5.93919
5930403N24Rik_pips	3.35707
5930422O12Rik_pips	2.60465
6030405A18Rik_pips	4.59391
6030419C18Rik_pips	5.12257
6030446N20Rik_pips	6.61695
6030498E09Rik_pips	2.40964
6230409E13Rik_pips	4.61288
6230410P16Rik_pips	5.01697
6330403K07Rik_pips	3.95571
6330406I15Rik$6330406I15Rik_pips	4.09801
6330408A02Rik_pips	4.94591
6330416G13Rik_pips	5.94291
6330439K17Rik_pips	3.83903
6330500D04Rik_pips	5.36196
6330512M04Rik_pips	4.87384
6330527O06Rik_pips	3.24746
6330534C20Rik_pips	3.85615
6330545A04Rik_pips	5.11301
6330548G22Rik_pips	7.67796
6430502M16Rik_pips	2.76698
6430517E21Rik_pips	3.67794
6430531B16Rik_pips	4.75436
6430537H07Rik_pips	3.74718
6430548M08Rik_pips	5.39848
6430550H21Rik_pips	2.64252
6430553K19Rik_pips	2.57421
6430571L13Rik_pips	3.6484
6430573F11Rik_pips	3.18855
6530401N04Rik$6530401N04Rik_pips	4.77992
6530418L21Rik_pips	6.57131
6620401K05Rik_pips	6.25979
6720456H20Rik_pips	4.38102
6720463M24Rik_pips	7.39234
6820408C15Rik_pips	4.73047
7420416P09Rik_pips	3.46323
7530404M11Rik_pips	3.91071
8030411F24Rik_pips	3.70549
8030451F13Rik_pips	4.09228
8030451K01Rik_pips	6.65133
8030462N17Rik_pips	4.71866
8030463A06Rik_pips	4.04518
8430406I07Rik_pips	6.68896
9030205A07Rik_pips	3.45232
9030224M15Rik_pips	4.80487
9030605E09Rik_pips	2.99855
9030605I04Rik_pips	4.83182
9030619P08Rik_pips	4.72655
9130008F23Rik_pips	6.95525
9130014G24Rik_pips	2.56059
9130017N09Rik_pips	7.07622
9130019O22Rik$6430604K15Rik_pips	2.44537
9130019P16Rik_pips	3.64535
9130206N08Rik_pips	3.95914
9130211I03Rik_pips	4.47712
9130409I23Rik_pips	2.33098
9230105E10Rik_pips	4.42913
9230112E08Rik_pips	3.07372
9330120H11Rik_pips	5.62873
9330128J19Rik_pips	5.81077
9330133O14Rik_pips	5.52707
9330175E14Rik_pips	3.97747
9330182L06Rik_pips	3.479
9430022F06Rik_pips	4.32094
9430028L06Rik_pips	3.10322
9430069J07Rik_pips	4.59667
9430070O13Rik_pips	2.39137
9530002B09Rik_pips	3.64175
9530003J23Rik_pips	2.8524
9530008L14Rik_pips	3.51092
9530056K15Rik_pips	3.44247
9530066K23Rik_pips	4.86061
9530077C05Rik_pips	4.85252
9530096D07Rik_pips	5.26106
9630013D21Rik_pips	2.46834
9630025I21Rik_pips	5.28801
9630030I15Rik_pips	3.59259
9630041N07Rik_pips	2.49104
9830102E05Rik_pips	2.2318
9830134C10Rik_pips	4.90115
9930023K05Rik_pips	4.96495
9930104L06Rik_pips	5.93406
A030001H23Rik_pips	2.40822
A030004J04Rik_pips	3.57124
A030009H04Rik_pips	5.60345
A030010K20Rik_pips	2.70567
A130010J15Rik_pips	6.65413
A130042E20Rik_pips	4.82183
A130050O07Rik_pips	3.35306
A130090K04Rik_pips	3.05514
A130092J06Rik_pips	3.87324
A230051G13Rik_pips	5.78362
A230067G21Rik_pips	5.6945
A230069A22Rik_pips	3.1748
A230097K15Rik_pips	4.50986
A230106N23Rik_pips	3.73914
A230107C01Rik$1700067C01Rik_pips	4.59828
A2bp1_pips	3.55153
A330021E22Rik_pips	3.55271
A330049M08Rik_pips	4.91392
A330102K23Rik_pips	3.98693
A330104H05Rik_pips	2.61507
A430010J10Rik_pips	2.5426
A430033K04Rik_pips	6.43546
A430107D22Rik_pips	3.7789
A430107O13Rik_pips	4.50094
A430107P09Rik_pips	2.91816
A4gnt_pips	4.57949
A530016L24Rik_pips	4.23001
A530016O06Rik_pips	2.32617
A530023O14Rik_pips	4.36976
A530050D06Rik_pips	5.30529
A530054K11Rik_pips	6.18598
A530057A03Rik_pips	3.48964
A530088H08Rik_pips	3.15605
A530088I07Rik_pips	5.87299
A630005I04Rik_pips	4.97465
A630018P17Rik_pips	6.33694
A630023P12Rik_pips	3.69366
A630033E08Rik$A630033E08Rik_pips	5.14248
A630055G03Rik_pips	5.28289
A630077B13Rik_pips	3.97766
A630095E13Rik_pips	2.90259
A730011L01Rik_pips	5.72808
